State,Industry,Measure,Year,Pivot Field Values
Arizona,Total,All Employed,2011,2378248
Arkansas,Total,All Employed,2011,1139682
California,Total,All Employed,2011,14567128
Colorado,Total,All Employed,2011,2213059
Connecticut,Total,All Employed,2011,1612292
Delaware,Total,All Employed,2011,402959
District of Columbia,Total,All Employed,2011,707359
Florida,Total,All Employed,2011,7195232
Georgia,Total,All Employed,2011,3792209
Hawaii,Total,All Employed,2011,593668
Idaho,Total,All Employed,2011,607504
Illinois,Total,All Employed,2011,5566648
Indiana,Total,All Employed,2011,2755826
Iowa,Total,All Employed,2011,1452769
Kansas,Total,All Employed,2011,1303799
Kentucky,Total,All Employed,2011,1734503
Louisiana,Total,All Employed,2011,1848399
Maine,Total,All Employed,2011,579838
Maryland,Total,All Employed,2011,2478505
Massachusetts,Total,All Employed,2011,3189753
Michigan,Total,All Employed,2011,3854837
Minnesota,Total,All Employed,2011,2602988
Mississippi,Total,All Employed,2011,1076488
Missouri,Total,All Employed,2011,2585009
Montana,Total,All Employed,2011,422726
Nebraska,Total,All Employed,2011,901584
Nevada,Total,All Employed,2011,1115062
New Hampshire,Total,All Employed,2011,605853
New Jersey,Total,All Employed,2011,3734660
New Mexico,Total,All Employed,2011,781226
New York,Total,All Employed,2011,8444791
North Carolina,Total,All Employed,2011,3838300
North Dakota,Total,All Employed,2011,379432
Ohio,Total,All Employed,2011,4968724
Oklahoma,Total,All Employed,2011,1507558
Oregon,Total,All Employed,2011,1616634
Pennsylvania,Total,All Employed,2011,5535283
Rhode Island,Total,All Employed,2011,448570
South Carolina,Total,All Employed,2011,1780690
South Dakota,Total,All Employed,2011,393744
Tennessee,Total,All Employed,2011,2602604
Texas,Total,All Employed,2011,10422295
Utah,Total,All Employed,2011,1176530
Vermont,Total,All Employed,2011,295512
Virginia,Total,All Employed,2011,3578848
Washington,Total,All Employed,2011,2844622
West Virginia,Total,All Employed,2011,701905
Wisconsin,Total,All Employed,2011,2664920
Wyoming,Total,All Employed,2011,274743
Puerto Rico,Total,All Employed,2011,923451
Alabama,Total,All Employed,2012,1828248
Alaska,Total,All Employed,2012,327378
Arizona,Total,All Employed,2012,2431788
Arkansas,Total,All Employed,2012,1146811
California,Total,All Employed,2012,14959808
Colorado,Total,All Employed,2012,2266503
Connecticut,Total,All Employed,2012,1627748
Delaware,Total,All Employed,2012,405646
District of Columbia,Total,All Employed,2012,714930
Florida,Total,All Employed,2012,7341002
Georgia,Total,All Employed,2012,3841767
Hawaii,Total,All Employed,2012,605240
Idaho,Total,All Employed,2012,614463
Illinois,Total,All Employed,2012,5636918
Indiana,Total,All Employed,2012,2812347
Iowa,Total,All Employed,2012,1475884
Kansas,Total,All Employed,2012,1320285
Kentucky,Total,All Employed,2012,1761043
Louisiana,Total,All Employed,2012,1871037
Maine,Total,All Employed,2012,583196
Maryland,Total,All Employed,2012,2511669
Massachusetts,Total,All Employed,2012,3242273
Michigan,Total,All Employed,2012,3935694
Minnesota,Total,All Employed,2012,2644408
Mississippi,Total,All Employed,2012,1085748
Missouri,Total,All Employed,2012,2607420
Montana,Total,All Employed,2012,430315
Nebraska,Total,All Employed,2012,920295
Nevada,Total,All Employed,2012,1132140
New Hampshire,Total,All Employed,2012,612419
New Jersey,Total,All Employed,2012,3768935
New Mexico,Total,All Employed,2012,785455
New York,Total,All Employed,2012,8563125
North Carolina,Total,All Employed,2012,3907085
North Dakota,Total,All Employed,2012,411709
Ohio,Total,All Employed,2012,5048166
Oklahoma,Total,All Employed,2012,1540292
Oregon,Total,All Employed,2012,1642434
Pennsylvania,Total,All Employed,2012,5578414
Rhode Island,Total,All Employed,2012,450711
South Carolina,Total,All Employed,2012,1810150
South Dakota,Total,All Employed,2012,400475
Tennessee,Total,All Employed,2012,2653392
Texas,Total,All Employed,2012,10727642
Utah,Total,All Employed,2012,1215983
Vermont,Total,All Employed,2012,299519
Virginia,Total,All Employed,2012,3619176
Washington,Total,All Employed,2012,2894703
West Virginia,Total,All Employed,2012,710590
Wisconsin,Total,All Employed,2012,2695404
Wyoming,Total,All Employed,2012,278595
Puerto Rico,Total,All Employed,2012,937634
Alabama,Total,All Employed,2013,1845086
Alaska,Total,All Employed,2013,328716
Arizona,Total,All Employed,2013,2488009
Arkansas,Total,All Employed,2013,1146274
California,Total,All Employed,2013,15378962
Colorado,Total,All Employed,2013,2335803
Connecticut,Total,All Employed,2013,1640333
Delaware,Total,All Employed,2013,413825
District of Columbia,Total,All Employed,2013,724270
Florida,Total,All Employed,2013,7518448
Georgia,Total,All Employed,2013,3918085
Hawaii,Total,All Employed,2013,618195
Idaho,Total,All Employed,2013,630328
Illinois,Total,All Employed,2013,5687541
Indiana,Total,All Employed,2013,2849311
Iowa,Total,All Employed,2013,1496426
Kansas,Total,All Employed,2013,1336948
Kentucky,Total,All Employed,2013,1779777
Louisiana,Total,All Employed,2013,1893823
Maine,Total,All Employed,2013,586525
Maryland,Total,All Employed,2013,2531656
Massachusetts,Total,All Employed,2013,3295647
Michigan,Total,All Employed,2013,4018602
Minnesota,Total,All Employed,2013,2691832
Mississippi,Total,All Employed,2013,1093581
Missouri,Total,All Employed,2013,2637273
Montana,Total,All Employed,2013,436867
Nebraska,Total,All Employed,2013,932768
Nevada,Total,All Employed,2013,1160115
New Hampshire,Total,All Employed,2013,618781
New Jersey,Total,All Employed,2013,3812940
New Mexico,Total,All Employed,2013,791804
New York,Total,All Employed,2013,8685758
North Carolina,Total,All Employed,2013,3974937
North Dakota,Total,All Employed,2013,427108
Ohio,Total,All Employed,2013,5110011
Oklahoma,Total,All Employed,2013,1560799
Oregon,Total,All Employed,2013,1678726
Pennsylvania,Total,All Employed,2013,5596841
Rhode Island,Total,All Employed,2013,456112
South Carolina,Total,All Employed,2013,1846621
South Dakota,Total,All Employed,2013,404652
Tennessee,Total,All Employed,2013,2694288
Texas,Total,All Employed,2013,11031907
Utah,Total,All Employed,2013,1254582
Vermont,Total,All Employed,2013,301586
Virginia,Total,All Employed,2013,3640209
Washington,Total,All Employed,2013,2960123
West Virginia,Total,All Employed,2013,703916
Wisconsin,Total,All Employed,2013,2721960
Wyoming,Total,All Employed,2013,279748
Puerto Rico,Total,All Employed,2013,922744
Alabama,Total,All Employed,2014,1863561
Alaska,Total,All Employed,2014,330105
Arizona,Total,All Employed,2014,2539253
Arkansas,Total,All Employed,2014,1157630
California,Total,All Employed,2014,15809082
Colorado,Total,All Employed,2014,2417735
Connecticut,Total,All Employed,2014,1653573
Delaware,Total,All Employed,2014,423598
District of Columbia,Total,All Employed,2014,729349
Florida,Total,All Employed,2014,7755371
Georgia,Total,All Employed,2014,4032488
Hawaii,Total,All Employed,2014,626146
Idaho,Total,All Employed,2014,646305
Illinois,Total,All Employed,2014,5762156
Indiana,Total,All Employed,2014,2890758
Iowa,Total,All Employed,2014,1515822
Kansas,Total,All Employed,2014,1357090
Kentucky,Total,All Employed,2014,1807068
Louisiana,Total,All Employed,2014,1923745
Maine,Total,All Employed,2014,590377
Maryland,Total,All Employed,2014,2552623
Massachusetts,Total,All Employed,2014,3360035
Michigan,Total,All Employed,2014,4090009
Minnesota,Total,All Employed,2014,2730301
Mississippi,Total,All Employed,2014,1102603
Missouri,Total,All Employed,2014,2667996
Montana,Total,All Employed,2014,440198
Nebraska,Total,All Employed,2014,946110
Nevada,Total,All Employed,2014,1202475
New Hampshire,Total,All Employed,2014,626566
New Jersey,Total,All Employed,2014,3841854
New Mexico,Total,All Employed,2014,798912
New York,Total,All Employed,2014,8846774
North Carolina,Total,All Employed,2014,4057439
North Dakota,Total,All Employed,2014,444652
Ohio,Total,All Employed,2014,5183462
Oklahoma,Total,All Employed,2014,1582712
Oregon,Total,All Employed,2014,1725906
Pennsylvania,Total,All Employed,2014,5644443
Rhode Island,Total,All Employed,2014,463303
South Carolina,Total,All Employed,2014,1895420
South Dakota,Total,All Employed,2014,410929
Tennessee,Total,All Employed,2014,2750032
Texas,Total,All Employed,2014,11379184
Utah,Total,All Employed,2014,1291859
Vermont,Total,All Employed,2014,304472
Virginia,Total,All Employed,2014,3654831
Washington,Total,All Employed,2014,3043562
West Virginia,Total,All Employed,2014,700846
Wisconsin,Total,All Employed,2014,2758496
Wyoming,Total,All Employed,2014,284394
Puerto Rico,Total,All Employed,2014,907001
Alabama,Total,All Employed,2015,1890340
Alaska,Total,All Employed,2015,331681
Arizona,Total,All Employed,2015,2609770
Arkansas,Total,All Employed,2015,1177884
California,Total,All Employed,2015,16295204
Colorado,Total,All Employed,2015,2494450
Connecticut,Total,All Employed,2015,1662825
Delaware,Total,All Employed,2015,433748
District of Columbia,Total,All Employed,2015,743596
Florida,Total,All Employed,2015,8039635
Georgia,Total,All Employed,2015,4151011
Hawaii,Total,All Employed,2015,637854
Idaho,Total,All Employed,2015,664792
Illinois,Total,All Employed,2015,5848451
Indiana,Total,All Employed,2015,2941991
Iowa,Total,All Employed,2015,1530234
Kansas,Total,All Employed,2015,1367329
Kentucky,Total,All Employed,2015,1835550
Louisiana,Total,All Employed,2015,1930688
Maine,Total,All Employed,2015,595889
Maryland,Total,All Employed,2015,2591189
Massachusetts,Total,All Employed,2015,3428020
Michigan,Total,All Employed,2015,4161641
Minnesota,Total,All Employed,2015,2776684
Mississippi,Total,All Employed,2015,1114379
Missouri,Total,All Employed,2015,2715579
Montana,Total,All Employed,2015,448688
Nebraska,Total,All Employed,2015,959176
Nevada,Total,All Employed,2015,1244635
New Hampshire,Total,All Employed,2015,636806
New Jersey,Total,All Employed,2015,3889975
New Mexico,Total,All Employed,2015,806762
New York,Total,All Employed,2015,9014385
North Carolina,Total,All Employed,2015,4161654
North Dakota,Total,All Employed,2015,437072
Ohio,Total,All Employed,2015,5257971
Oklahoma,Total,All Employed,2015,1594011
Oregon,Total,All Employed,2015,1787398
Pennsylvania,Total,All Employed,2015,5691613
Rhode Island,Total,All Employed,2015,469981
South Carolina,Total,All Employed,2015,1949881
South Dakota,Total,All Employed,2015,416020
Tennessee,Total,All Employed,2015,2820198
Texas,Total,All Employed,2015,11655919
Utah,Total,All Employed,2015,1340591
Vermont,Total,All Employed,2015,307058
Virginia,Total,All Employed,2015,3735713
Washington,Total,All Employed,2015,3122749
West Virginia,Total,All Employed,2015,696195
Wisconsin,Total,All Employed,2015,2794170
Wyoming,Total,All Employed,2015,282667
Puerto Rico,Total,All Employed,2015,897264
Alabama,Total,All Employed,2016,1915306
Alaska,Total,All Employed,2016,326295
Arizona,Total,All Employed,2016,2680065
Arkansas,Total,All Employed,2016,1191763
California,Total,All Employed,2016,16718647
Colorado,Total,All Employed,2016,2552503
Connecticut,Total,All Employed,2016,1666554
Delaware,Total,All Employed,2016,438238
District of Columbia,Total,All Employed,2016,756646
Florida,Total,All Employed,2016,8309351
Georgia,Total,All Employed,2016,4262937
Hawaii,Total,All Employed,2016,647545
Idaho,Total,All Employed,2016,687919
Illinois,Total,All Employed,2016,5895633
Indiana,Total,All Employed,2016,2987091
Iowa,Total,All Employed,2016,1539752
Kansas,Total,All Employed,2016,1370665
Kentucky,Total,All Employed,2016,1861063
Louisiana,Total,All Employed,2016,1908397
Maine,Total,All Employed,2016,603785
Maryland,Total,All Employed,2016,2627172
Massachusetts,Total,All Employed,2016,3494553
Michigan,Total,All Employed,2016,4242537
Minnesota,Total,All Employed,2016,2815248
Mississippi,Total,All Employed,2016,1124854
Missouri,Total,All Employed,2016,2755477
Montana,Total,All Employed,2016,454819
Nebraska,Total,All Employed,2016,968601
Nevada,Total,All Employed,2016,1283642
New Hampshire,Total,All Employed,2016,647347
New Jersey,Total,All Employed,2016,3953972
New Mexico,Total,All Employed,2016,807387
New York,Total,All Employed,2016,9154025
North Carolina,Total,All Employed,2016,4259276
North Dakota,Total,All Employed,2016,417119
Ohio,Total,All Employed,2016,5319679
Oklahoma,Total,All Employed,2016,1575978
Oregon,Total,All Employed,2016,1840874
Pennsylvania,Total,All Employed,2016,5737759
Rhode Island,Total,All Employed,2016,473406
South Carolina,Total,All Employed,2016,1996297
South Dakota,Total,All Employed,2016,420460
Tennessee,Total,All Employed,2016,2887754
Texas,Total,All Employed,2016,11805698
Utah,Total,All Employed,2016,1388878
Vermont,Total,All Employed,2016,308044
Virginia,Total,All Employed,2016,3789744
Washington,Total,All Employed,2016,3215014
West Virginia,Total,All Employed,2016,684322
Wisconsin,Total,All Employed,2016,2828166
Wyoming,Total,All Employed,2016,271813
Puerto Rico,Total,All Employed,2016,892828
Alabama,Total,All Employed,2017,1936819
Alaska,Total,All Employed,2017,322136
Arizona,Total,All Employed,2017,2747638
Arkansas,Total,All Employed,2017,1200542
California,Total,All Employed,2017,17019702
Colorado,Total,All Employed,2017,2609770
Connecticut,Total,All Employed,2017,1669616
Delaware,Total,All Employed,2017,441873
District of Columbia,Total,All Employed,2017,763847
Florida,Total,All Employed,2017,8494623
Georgia,Total,All Employed,2017,4346453
Hawaii,Total,All Employed,2017,654185
Idaho,Total,All Employed,2017,706820
Illinois,Total,All Employed,2017,5934549
Indiana,Total,All Employed,2017,3018177
Iowa,Total,All Employed,2017,1540435
Kansas,Total,All Employed,2017,1371633
Kentucky,Total,All Employed,2017,1874455
Louisiana,Total,All Employed,2017,1907721
Maine,Total,All Employed,2017,609271
Maryland,Total,All Employed,2017,2653569
Massachusetts,Total,All Employed,2017,3543383
Michigan,Total,All Employed,2017,4294711
Minnesota,Total,All Employed,2017,2856105
Mississippi,Total,All Employed,2017,1128498
Missouri,Total,All Employed,2017,2781242
Montana,Total,All Employed,2017,459431
Nebraska,Total,All Employed,2017,972764
Nevada,Total,All Employed,2017,1326151
New Hampshire,Total,All Employed,2017,653487
New Jersey,Total,All Employed,2017,4006799
New Mexico,Total,All Employed,2017,810516
New York,Total,All Employed,2017,9276868
North Carolina,Total,All Employed,2017,4330606
North Dakota,Total,All Employed,2017,414038
Ohio,Total,All Employed,2017,5364626
Oklahoma,Total,All Employed,2017,1581198
Oregon,Total,All Employed,2017,1883407
Pennsylvania,Total,All Employed,2017,5799123
Rhode Island,Total,All Employed,2017,477362
South Carolina,Total,All Employed,2017,2035341
South Dakota,Total,All Employed,2017,422489
Tennessee,Total,All Employed,2017,2930932
Texas,Total,All Employed,2017,12014802
Utah,Total,All Employed,2017,1430588
Vermont,Total,All Employed,2017,309442
Virginia,Total,All Employed,2017,3838368
Washington,Total,All Employed,2017,3290209
West Virginia,Total,All Employed,2017,683807
Wisconsin,Total,All Employed,2017,2850145
Wyoming,Total,All Employed,2017,269586
Puerto Rico,Total,All Employed,2017,869928
Alabama,Total,All Employed,2018,1961625
Alaska,Total,All Employed,2018,321078
Arizona,Total,All Employed,2018,2826095
Arkansas,Total,All Employed,2018,1211021
California,Total,All Employed,2018,17355855
Colorado,Total,All Employed,2018,2674030
Connecticut,Total,All Employed,2018,1673925
Delaware,Total,All Employed,2018,447075
District of Columbia,Total,All Employed,2018,771750
Florida,Total,All Employed,2018,8700654
Georgia,Total,All Employed,2018,4430136
Hawaii,Total,All Employed,2018,658341
Idaho,Total,All Employed,2018,730716
Illinois,Total,All Employed,2018,5973316
Indiana,Total,All Employed,2018,3051879
Iowa,Total,All Employed,2018,1549958
Kansas,Total,All Employed,2018,1383119
Kentucky,Total,All Employed,2018,1884653
Louisiana,Total,All Employed,2018,1921498
Maine,Total,All Employed,2018,615271
Maryland,Total,All Employed,2018,2679064
Massachusetts,Total,All Employed,2018,3586034
Michigan,Total,All Employed,2018,4340045
Minnesota,Total,All Employed,2018,2882944
Mississippi,Total,All Employed,2018,1130786
Missouri,Total,All Employed,2018,2794483
Montana,Total,All Employed,2018,464818
Nebraska,Total,All Employed,2018,978066
Nevada,Total,All Employed,2018,1371030
New Hampshire,Total,All Employed,2018,658836
New Jersey,Total,All Employed,2018,4043517
New Mexico,Total,All Employed,2018,822351
New York,Total,All Employed,2018,9432830
North Carolina,Total,All Employed,2018,4410791
North Dakota,Total,All Employed,2018,417578
Ohio,Total,All Employed,2018,5405891
Oklahoma,Total,All Employed,2018,1605887
Oregon,Total,All Employed,2018,1920804
Pennsylvania,Total,All Employed,2018,5867783
Rhode Island,Total,All Employed,2018,481569
South Carolina,Total,All Employed,2018,2091683
South Dakota,Total,All Employed,2018,426927
Tennessee,Total,All Employed,2018,2976889
Texas,Total,All Employed,2018,12302358
Utah,Total,All Employed,2018,1478493
Vermont,Total,All Employed,2018,310334
Virginia,Total,All Employed,2018,3893254
Washington,Total,All Employed,2018,3372533
West Virginia,Total,All Employed,2018,693478
Wisconsin,Total,All Employed,2018,2876534
Wyoming,Total,All Employed,2018,272171
Puerto Rico,Total,All Employed,2018,860677
Alabama,Total,All Employed,2019,1989555
Alaska,Total,All Employed,2019,323695
Arizona,Total,All Employed,2019,2908826
Arkansas,Total,All Employed,2019,1218106
California,Total,All Employed,2019,17631489
Colorado,Total,All Employed,2019,2736105
Connecticut,Total,All Employed,2019,1670704
Delaware,Total,All Employed,2019,452776
District of Columbia,Total,All Employed,2019,776041
Florida,Total,All Employed,2019,8884066
Georgia,Total,All Employed,2019,4513028
Hawaii,Total,All Employed,2019,659045
Idaho,Total,All Employed,2019,752351
Illinois,Total,All Employed,2019,5995905
Indiana,Total,All Employed,2019,3077767
Iowa,Total,All Employed,2019,1553350
Kansas,Total,All Employed,2019,1393184
Kentucky,Total,All Employed,2019,1897896
Louisiana,Total,All Employed,2019,1923825
Maine,Total,All Employed,2019,621691
Maryland,Total,All Employed,2019,2698113
Massachusetts,Total,All Employed,2019,3636617
Michigan,Total,All Employed,2019,4358167
Minnesota,Total,All Employed,2019,2902225
Mississippi,Total,All Employed,2019,1135598
Missouri,Total,All Employed,2019,2812888
Montana,Total,All Employed,2019,470525
Nebraska,Total,All Employed,2019,982504
Nevada,Total,All Employed,2019,1408753
New Hampshire,Total,All Employed,2019,665320
New Jersey,Total,All Employed,2019,4083014
New Mexico,Total,All Employed,2019,836674
New York,Total,All Employed,2019,9542899
North Carolina,Total,All Employed,2019,4498572
North Dakota,Total,All Employed,2019,422837
Ohio,Total,All Employed,2019,5439352
Oklahoma,Total,All Employed,2019,1622058
Oregon,Total,All Employed,2019,1953467
Pennsylvania,Total,All Employed,2019,5925588
Rhode Island,Total,All Employed,2019,485638
South Carolina,Total,All Employed,2019,2129271
South Dakota,Total,All Employed,2019,430117
Tennessee,Total,All Employed,2019,3032893
Texas,Total,All Employed,2019,12590406
Utah,Total,All Employed,2019,1520688
Vermont,Total,All Employed,2019,310611
Virginia,Total,All Employed,2019,3938841
Washington,Total,All Employed,2019,3439158
West Virginia,Total,All Employed,2019,688761
Wisconsin,Total,All Employed,2019,2887018
Wyoming,Total,All Employed,2019,277114
Puerto Rico,Total,All Employed,2019,876210
Alabama,Total,All Employed,2020,1909145
Alaska,Total,All Employed,2020,297429
Arizona,Total,All Employed,2020,2823760
Arkansas,Total,All Employed,2020,1174632
California,Total,All Employed,2020,16378059
Colorado,Total,All Employed,2020,2602371
Connecticut,Total,All Employed,2020,1545338
Delaware,Total,All Employed,2020,426661
District of Columbia,Total,All Employed,2020,726083
Florida,Total,All Employed,2020,8447957
Georgia,Total,All Employed,2020,4307139
Hawaii,Total,All Employed,2020,560156
Idaho,Total,All Employed,2020,748123
Illinois,Total,All Employed,2020,5570198
Indiana,Total,All Employed,2020,2918792
Iowa,Total,All Employed,2020,1475704
Kansas,Total,All Employed,2020,1328640
Kentucky,Total,All Employed,2020,1792596
Louisiana,Total,All Employed,2020,1780574
Maine,Total,All Employed,2020,584271
Maryland,Total,All Employed,2020,2512624
Massachusetts,Total,All Employed,2020,3324192
Michigan,Total,All Employed,2020,3968230
Minnesota,Total,All Employed,2020,2705651
Mississippi,Total,All Employed,2020,1089821
Missouri,Total,All Employed,2020,2675116
Montana,Total,All Employed,2020,456631
Nebraska,Total,All Employed,2020,948137
Nevada,Total,All Employed,2020,1265675
New Hampshire,Total,All Employed,2020,624550
New Jersey,Total,All Employed,2020,3751355
New Mexico,Total,All Employed,2020,781771
New York,Total,All Employed,2020,8585181
North Carolina,Total,All Employed,2020,4323325
North Dakota,Total,All Employed,2020,395956
Ohio,Total,All Employed,2020,5123767
Oklahoma,Total,All Employed,2020,1549993
Oregon,Total,All Employed,2020,1836208
Pennsylvania,Total,All Employed,2020,5488591
Rhode Island,Total,All Employed,2020,444432
South Carolina,Total,All Employed,2020,2028041
South Dakota,Total,All Employed,2020,417092
Tennessee,Total,All Employed,2020,2916181
Texas,Total,All Employed,2020,12070210
Utah,Total,All Employed,2020,1504751
Vermont,Total,All Employed,2020,283506
Virginia,Total,All Employed,2020,3743712
Washington,Total,All Employed,2020,3258164
West Virginia,Total,All Employed,2020,642018
Wisconsin,Total,All Employed,2020,2730289
Wyoming,Total,All Employed,2020,260977
Puerto Rico,Total,All Employed,2020,832754
Alabama,Total,All Employed,2021,1965189
Alaska,Total,All Employed,2021,305145
Arizona,Total,All Employed,2021,2935150
Arkansas,Total,All Employed,2021,1203304
California,Total,All Employed,2021,16974870
Colorado,Total,All Employed,2021,2699891
Connecticut,Total,All Employed,2021,1591093
Delaware,Total,All Employed,2021,441668
District of Columbia,Total,All Employed,2021,725826
Florida,Total,All Employed,2021,8859821
Georgia,Total,All Employed,2021,4475118
Hawaii,Total,All Employed,2021,588086
Idaho,Total,All Employed,2021,790424
Illinois,Total,All Employed,2021,5694355
Indiana,Total,All Employed,2021,3010658
Iowa,Total,All Employed,2021,1505989
Kansas,Total,All Employed,2021,1353532
Kentucky,Total,All Employed,2021,1857636
Louisiana,Total,All Employed,2021,1816296
Maine,Total,All Employed,2021,610111
Maryland,Total,All Employed,2021,2581194
Massachusetts,Total,All Employed,2021,3456005
Michigan,Total,All Employed,2021,4132277
Minnesota,Total,All Employed,2021,2774861
Mississippi,Total,All Employed,2021,1117423
Missouri,Total,All Employed,2021,2741069
Montana,Total,All Employed,2021,478523
Nebraska,Total,All Employed,2021,965748
Nevada,Total,All Employed,2021,1357630
New Hampshire,Total,All Employed,2021,649187
New Jersey,Total,All Employed,2021,3926845
New Mexico,Total,All Employed,2021,796691
New York,Total,All Employed,2021,8817105
North Carolina,Total,All Employed,2021,4509160
North Dakota,Total,All Employed,2021,400472
Ohio,Total,All Employed,2021,5246891
Oklahoma,Total,All Employed,2021,1571737
Oregon,Total,All Employed,2021,1881040
Pennsylvania,Total,All Employed,2021,5650325
Rhode Island,Total,All Employed,2021,463776
South Carolina,Total,All Employed,2021,2093950
South Dakota,Total,All Employed,2021,430806
Tennessee,Total,All Employed,2021,3016458
Texas,Total,All Employed,2021,12526069
Utah,Total,All Employed,2021,1583748
Vermont,Total,All Employed,2021,291663
Virginia,Total,All Employed,2021,3838861
Washington,Total,All Employed,2021,3352607
West Virginia,Total,All Employed,2021,657806
Wisconsin,Total,All Employed,2021,2800269
Wyoming,Total,All Employed,2021,265714
Puerto Rico,Total,All Employed,2021,876461
Alabama,Total,All Employed,2022,2026102
Alaska,Total,All Employed,2022,313959
Arizona,Total,All Employed,2022,3075427
Arkansas,Total,All Employed,2022,1248972
California,Total,All Employed,2022,17903539
Colorado,Total,All Employed,2022,2814975
Connecticut,Total,All Employed,2022,1642536
Delaware,Total,All Employed,2022,459114
District of Columbia,Total,All Employed,2022,748737
Florida,Total,All Employed,2022,9358228
Georgia,Total,All Employed,2022,4705337
Hawaii,Total,All Employed,2022,619985
Idaho,Total,All Employed,2022,820860
Illinois,Total,All Employed,2022,5918832
Indiana,Total,All Employed,2022,3113419
Iowa,Total,All Employed,2022,1536997
Kansas,Total,All Employed,2022,1390817
Kentucky,Total,All Employed,2022,1920456
Louisiana,Total,All Employed,2022,1865592
Maine,Total,All Employed,2022,626520
Maryland,Total,All Employed,2022,2641021
Massachusetts,Total,All Employed,2022,3595632
Michigan,Total,All Employed,2022,4300943
Minnesota,Total,All Employed,2022,2853966
Mississippi,Total,All Employed,2022,1145453
Missouri,Total,All Employed,2022,2821194
Montana,Total,All Employed,2022,496227
Nebraska,Total,All Employed,2022,983968
Nevada,Total,All Employed,2022,1471888
New Hampshire,Total,All Employed,2022,670645
New Jersey,Total,All Employed,2022,4134620
New Mexico,Total,All Employed,2022,832863
New York,Total,All Employed,2022,9264611
North Carolina,Total,All Employed,2022,4699554
North Dakota,Total,All Employed,2022,411307
Ohio,Total,All Employed,2022,5392612
Oklahoma,Total,All Employed,2022,1624905
Oregon,Total,All Employed,2022,1950774
Pennsylvania,Total,All Employed,2022,5863233
Rhode Island,Total,All Employed,2022,481342
South Carolina,Total,All Employed,2022,2181593
South Dakota,Total,All Employed,2022,443127
Tennessee,Total,All Employed,2022,3157887
Texas,Total,All Employed,2022,13249119
Utah,Total,All Employed,2022,1651243
Vermont,Total,All Employed,2022,301271
Virginia,Total,All Employed,2022,3958628
Washington,Total,All Employed,2022,3512268
West Virginia,Total,All Employed,2022,673782
Wisconsin,Total,All Employed,2022,2877343
Wyoming,Total,All Employed,2022,272234
Puerto Rico,Total,All Employed,2022,922099
Alabama,Total,All Employed,2023,2075785
Alaska,Total,All Employed,2023,322800
Arizona,Total,All Employed,2023,3164081
Arkansas,Total,All Employed,2023,1278470
California,Total,All Employed,2023,18002893
Colorado,Total,All Employed,2023,2882674
Connecticut,Total,All Employed,2023,1668508
Delaware,Total,All Employed,2023,469362
District of Columbia,Total,All Employed,2023,757754
Florida,Total,All Employed,2023,9680319
Georgia,Total,All Employed,2023,4808000
Hawaii,Total,All Employed,2023,633890
Idaho,Total,All Employed,2023,842561
Illinois,Total,All Employed,2023,6013493
Indiana,Total,All Employed,2023,3157809
Iowa,Total,All Employed,2023,1556484
Kansas,Total,All Employed,2023,1417023
